"peak count" "year" "month" "day"
2750 2016 10 16
2665 2016 10 16
2026 2016 10 16
2153 2016 10 16
2158 2016 10 16
2175 2016 10 16
2490 2016 10 16
3129 2016 10 16
2756 2016 10 16
2479 2016 10 16
2362 2016 10 16
2417 2016 10 16
2297 2016 10 16
2263 2016 10 16
1789 2016 10 16
2539 2016 10 16
2246 2016 10 16
2648 2016 10 16
2422 2016 10 16
2653 2016 10 16
6425 2016 11 14
6765 2016 11 14
6713 2016 11 14
6588 2016 11 14
6576 2016 11 14
6903 2016 11 14
6423 2016 11 14
7147 2016 11 14
6675 2016 11 14
6857 2016 11 14
7811 2016 11 15
7495 2016 11 15
7425 2016 11 15
7516 2016 11 15
7535 2016 11 15
7595 2016 11 15
7637 2016 11 15
7766 2016 11 15
7520 2016 11 15
7704 2016 11 15
8155 2016 11 21
7752 2016 11 21
8069 2016 11 21
7796 2016 11 21
7767 2016 11 21
7963 2016 11 21
7632 2016 11 21
7890 2016 11 21
7535 2016 11 21
7689 2016 11 21
8016 2016 11 22
8126 2016 11 22
7969 2016 11 22
8002 2016 11 22
8348 2016 11 22
8228 2016 11 22
7736 2016 11 22
8214 2016 11 22
7929 2016 11 22
8241 2016 11 22
8159 2016 11 23
7670 2016 11 23
8357 2016 11 23
8101 2016 11 23
8262 2016 11 23
7833 2016 11 23
7987 2016 11 23
8517 2016 11 23
8226 2016 11 23
8296 2016 11 23
7327 2016 11 24
7177 2016 11 24
7527 2016 11 24
7296 2016 11 24
7018 2016 11 24
7362 2016 11 24
7022 2016 11 24
7468 2016 11 24
7153 2016 11 24
7114 2016 11 24
5749 2016 12 12
6084 2016 12 12
6027 2016 12 12
6072 2016 12 12
5719 2016 12 12
6004 2016 12 12
5900 2016 12 12
6403 2016 12 12
5763 2016 12 12
6199 2016 12 12
5847 2016 12 13
6530 2016 12 13
6206 2016 12 13
6207 2016 12 13
6391 2016 12 13
6459 2016 12 13
6341 2016 12 13
6245 2016 12 13
6539 2016 12 13
6429 2016 12 13
6075 2016 12 14
6350 2016 12 14
6190 2016 12 14
5996 2016 12 14
6530 2016 12 14
6629 2016 12 14
6058 2016 12 14
5904 2016 12 14
5759 2016 12 14
6260 2016 12 14
5081 2016 12 15
5488 2016 12 15
5282 2016 12 15
5558 2016 12 15
5507 2016 12 15
5573 2016 12 15
5127 2016 12 15
5578 2016 12 15
5494 2016 12 15
5679 2016 12 15
5040 2017 1 9
5132 2017 1 9
4778 2017 1 9
6331 2017 1 9
4842 2017 1 9
5339 2017 1 9
4861 2017 1 9
5255 2017 1 9
6023 2017 1 9
5362 2017 1 9
5414 2017 1 10
5118 2017 1 10
5033 2017 1 10
5285 2017 1 10
5061 2017 1 10
5244 2017 1 10
5013 2017 1 10
5327 2017 1 10
4947 2017 1 10
5196 2017 1 10
4678 2017 1 11
3936 2017 1 11
4226 2017 1 11
4407 2017 1 11
4268 2017 1 11
4311 2017 1 11
3928 2017 1 11
4185 2017 1 11
3992 2017 1 11
4215 2017 1 11
5993 2017 2 20
5966 2017 2 20
8600 2017 2 20
8605 2017 2 20
6358 2017 2 20
5944 2017 2 20
6307 2017 2 20
6312 2017 2 20
6393 2017 2 20
6388 2017 2 20
7517 2017 2 21
9160 2017 2 21
8974 2017 2 21
9057 2017 2 21
9140 2017 2 21
9211 2017 2 21
8940 2017 2 21
9185 2017 2 21
8918 2017 2 21
9139 2017 2 21
8919 2017 2 22
8908 2017 2 22
8739 2017 2 22
8892 2017 2 22
8597 2017 2 22
8988 2017 2 22
6915 2017 2 22
8889 2017 2 22
8576 2017 2 22
8783 2017 2 22
8885 2017 2 23
8934 2017 2 23
8949 2017 2 23
8821 2017 2 23
9106 2017 2 23
9027 2017 2 23
8707 2017 2 23
9080 2017 2 23
8788 2017 2 23
9227 2017 2 23
8969 2017 2 24
9031 2017 2 24
8876 2017 2 24
8836 2017 2 24
8706 2017 2 24
9041 2017 2 24
7982 2017 2 24
9075 2017 2 24
9080 2017 2 24
9054 2017 2 24
8640 2017 3 27
9051 2017 3 27
8517 2017 3 27
8569 2017 3 27
8585 2017 3 27
8649 2017 3 27
9003 2017 3 27
9106 2017 3 27
8905 2017 3 27
8993 2017 3 27
6400 2017 3 28
9460 2017 3 28
8677 2017 3 28
8600 2017 3 28
8727 2017 3 28
9336 2017 3 28
6480 2017 3 28
9034 2017 3 28
8822 2017 3 28
8988 2017 3 28
8713 2017 3 29
9239 2017 3 29
9014 2017 3 29
8770 2017 3 29
8854 2017 3 29
8969 2017 3 29
8759 2017 3 29
9294 2017 3 29
8848 2017 3 29
9068 2017 3 29
6233 2017 3 30
9278 2017 3 30
9176 2017 3 30
8881 2017 3 30
8987 2017 3 30
9305 2017 3 30
6745 2017 3 30
9392 2017 3 30
9087 2017 3 30
9165 2017 3 30
9247 2017 3 31
8520 2017 3 31
9257 2017 3 31
9043 2017 3 31
8841 2017 3 31
6578 2017 3 31
9139 2017 3 31
9110 2017 3 31
9132 2017 3 31
6639 2017 3 31
10054 2017 4 3
9254 2017 4 3
9948 2017 4 3
8115 2017 4 3
9591 2017 4 3
9603 2017 4 3
8817 2017 4 3
9523 2017 4 3
9447 2017 4 3
9656 2017 4 3
9064 2017 4 4
9471 2017 4 4
9286 2017 4 4
9435 2017 4 4
