,name,abbreviation,formula,POS,NEG,RT,data_set,sample,operator,version,quality_NEG,quality_POS,mz,mzmin,mzmax,rtmin,rtmax
ADMA,ADMA,ADMA,C8H18N4O2,[M+H]+,[M-H]-,172,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,203.150252,203.140252,203.160252,157,187
alanine,Alanine,alanine,C3H7NO2,[M+H]+,[M-H+HCOONa]-,164,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,90.054954464,90.034954464,90.074954464,155,185
alanine_13C_15N,"L-Alanine (13C3, 99%; 15N, 99%)",alanine_13C_15N,93.0548,[M+H]+,[M-H]-,165,2019_11_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,1_good,94.062076,94.042076,94.082076,152,182
arginine,Arginine,arginine,C6H14N4O2,[M+H]+,[M-H]-,185,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,0_perfect,175.118951688,175.098951688,175.138951688,172,202
arginine_13C_15N,"L-Arginine HCl (13C6, 99%; 15N4, 99%)",arginine_13C_15N,184.1199,[M+H]+,[M-H]-,183,2019_11_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,185.127176,185.107176,185.147176,168,198
aspartic_13C_15N,"L-Aspartic acid (13C4, 99%; 15N, 99%)",aspartic_13C_15N,138.048,[M+H]+,[M-H]-,179,2019_11_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,139.055276,139.035276,139.075276,164,194
caffeine,Caffeine,caffeine,194.0804,[M+H]+,NA,33,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,3_bad,195.087676,195.067676,195.107676,20,50
carnitine_c4,C4 Carnitine,carnitine_c4,C11H21NO4,[M+H]+,NA,34,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,3_bad,2_medium,232.154334152,232.134334152,232.174334152,22,52
cystine,Cystine,cystine,C6H12N2O4S2,[M+H]+,[M-H]-,209,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,1_good,241.031124864,241.011124864,241.051124864,196,226
cystine_13C_15N,"L-Cystine (13C6, 99%; 15N2, 99%)",cystine_13C_15N,248.038,[M+H]+,[M-H]-,208,2019_11_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,249.045276,249.025276,249.065276,193,223
glutamic_13C_15N,"L-Glutamic acid (13C5, 99%; 15N, 99%)",glutamic_13C_15N,153.067,[M+H]+,[M-H]-,170,2019_11_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,154.074276,154.054276,154.094276,155,185
glutamine,Glutamine,glutamine,C5H10N2O3,[M+H]+,[M-H]-,178,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,147.07641818,147.05641818,147.09641818,163,193
glycero_phosphocholine,Glycero-phosphocholine,glycero_phosphocholine,257.10282,[M+H]+,[M+Cl]-,189,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,258.110096,258.090096,258.130096,174,204
