mix,name,abbreviation,HMDB.code,formula,POS,NEG,RT,data_set,sample,operator,version,quality_POS,quality_NEG,note,mass,mz,mzmin,mzmax,rtmin,rtmax
2,C4 Carnitine,carnitine_c4,HMDB0000736,C11H21NO4,[M+H]+,NA,35,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,3_bad,Sigma Aldrich 51085 (Isobutyryl-L-carnitine)  chemical formula is of Butyrylcarnitine,231.147058152,232.154334152,232.153173380329,232.155494923671,15,55
4,Putrescine,putrescine,HMDB0001414,C4H12N2,[M+H-NH3]+,NA,165,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,3_bad,,88.100048384,72.080775734,72.0804153301213,72.0811361378787,145,185
7,ADMA,ADMA,HMDB0001539,C8H18N4O2,[M+H]+,[M-H]-,172,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,202.142975816,203.150251816,203.149236064741,203.151267567259,152,192
7,Caffeine,caffeine,HMDB0001847,C8H10N4O2,[M+H]+,NA,35,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,3_bad,,194.08037556,195.08765156,195.086676121742,195.088626998258,15,55
7,Glycero-phosphocholine,glycero_phosphocholine,HMDB0000086,C8H20NO6P,[M+H]+,[M+Cl]-,189,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,257.10282399,258.11009999,258.1088094395,258.1113905405,169,209
7,Serine,serine,HMDB0000187,C3H7NO3,[M+H]+,[M-H]-,177,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,105.042593084,106.049869084,106.049338834655,106.050399333345,157,197
7,Sphingosine,sphingosine,HMDB0000252,C18H37NO2,[M+H]+,[M+CHO2]-,30,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,3_bad,,299.282429424,300.289705424,300.288203975473,300.291206872527,10,50
7,Taurine,taurine,HMDB0000251,C2H7NO3S,[M+H]+,[M-H]-,172,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,125.014664084,126.021940084,126.0213099743,126.0225701937,152,192
8,Inosine,inosine,HMDB0000195,C10H12N4O5,[M+Na]+,[M-H]-,146,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,,268.080769484,291.069989484,291.068534134053,291.071444833947,126,166
9,Pipecolic acid,pipecolic,HMDB0000070,C6H11NO2,[M+H]+,[M-H]-,169,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,129.078978592,130.086254592,130.085604160727,130.086905023273,149,189
9,Proline,proline,HMDB0000162,C5H9NO2,[M+H]+,[M-H]-,163,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,115.063328528,116.070604528,116.070024174977,116.071184881023,143,183
11,SDMA,SDMA,HMDB0003334,C8H18N4O2,[M+H]+,[M-H]-,172,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,202.142975816,203.150251816,203.149236064741,203.151267567259,152,192
12,Guanidoacetic acid,guanidoacetic,HMDB0000128,C3H7N3O2,[M+H]+,[M-H]-,170,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,117.053826464,118.061102464,118.060512158488,118.061692769512,150,190
13,Sorbitol,sorbitol,HMDB0000247,C6H14O6,[M+Na]+,[M-H]-,165,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,,182.079038168,205.068258168,205.067232826709,205.069283509291,145,185
14,Acetylcarnitine,acetylcarnitine,HMDB0000201,C9H17NO4,[M+H]+,NA,35,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,3_bad,,203.115758024,204.123034024,204.12201340883,204.12405463917,15,55
14,Indolelactic acid,indolelactic,HMDB0000671,C11H11NO3,[M+H]+,[M-H]-,37,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,205.073893212,206.081169212,206.080138806154,206.082199617846,17,57
15,alpha-Aminoadipic acid,aminoadipic,HMDB0000510,C6H11NO4,[M+H]+,[M-H]-,170,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,161.068807832,162.076083832,162.075273451581,162.076894212419,150,190
15,Isovalerylglycine,isovalerylglycine,HMDB0000678,C7H13NO3,[M+H]+,[M-H]-,37,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,0_perfect,0_perfect,,159.089543276,160.096819276,160.096018791904,160.097619760096,17,57
17,3-Hydroxy-DL-kynurenine,hydroxykynurenine_3,HMDB0000732,C10H12N2O4,[M+H]+,[M-H]-,163,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,224.079706864,225.086982864,225.085857429086,225.088108298914,143,183
17,Succinylacetone,succinylacetone,HMDB0000635,C7H10O4,[M+Na]+,[M-H]-,35,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,158.0579088,181.0471288,181.046223564356,181.048034035644,15,55
10,Salicylic acid,salicylic,HMDB0001895,C7H6O3,[M+H]+,[M-H]-,34,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,0_perfect,,138.031694052,139.038970052,139.03827485715,139.03966524685,14,54
2,Hypoxanthine,hypoxanthine,HMDB0000157,C5H4N4O,[M+H]+,[M-H]-,126,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,136.038510748,137.045786748,137.045101519066,137.046471976934,106,146
11,L-Carnitine,carnitine,HMDB0000062,C7H15NO3,[M+H]+,NA,130,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,3_bad,,161.10519334,162.11246934,162.111658777653,162.113279902347,110,150
17,Epinephrine,epinephrine,HMDB0000068,C9H13NO3,[M+H]+,[M-H]-,144,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,2_medium,2_medium,,183.089543276,184.096819276,184.095898791904,184.097739760096,124,164
6,Tryptophan,tryptophan,HMDB0000929,C11H12N2O2,[M+H]+,[M-H]-,155,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,204.089877624,205.097153624,205.096128138232,205.098179109768,135,175
7,Methionine,methionine,HMDB0000696,C5H11NO2S,[M+H]+,[M-H]-,163,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,149.051049592,150.058325592,150.057575300372,150.059075883628,143,183
2,Valine,valine,HMDB0000883,C5H11NO2,[M+H]+,[M-H]-,166,2020_01_matrix_effect,serum,Mar Garcia-Aloy,2,1_good,1_good,,117.078978592,118.086254592,118.085664160727,118.086845023273,146,186
