## This file contains information for standards with a (reported) ion in positive polarity.
## For each CHRIS batch a column is available with the (manually verified) approximate retention time
## for this ion - or no value (NA) if the ion is not present/detected.
## Note that the presence of a retention time in a batch does not mean that the signal is clean and
## the assignment to a peak would be unambiguous.
"mix"	"name"	"abbreviation"	"formula"	"POS"	"RT"	"mz"	"mzmin"	"mzmax"	"BATCH0088"
1	"Acetylhistidine"	"acetylhistidine"	"C8H11N3O3"	"[M+H]+"	180	198.087317212	198.085336338828	198.089298085172	180
1	"Betaine"	"betaine"	"C5H11NO2"	"[M+H]+"	166	118.086254592	118.085073729454	118.087435454546	166
1	"Creatine"	"creatine"	"C4H9N3O2"	"[M+H]+"	173	132.076752528	132.075431760475	132.078073295525	170
1	"Dimethylglycine"	"dimethylglycine"	"C4H9NO2"	"[M+H]+"	177	104.070604528	104.069563821955	104.071645234045	170
1	"L-Glutamic Acid"	"glutamic"	"C5H9NO4"	"[M+H]+"	176	148.060433768	148.058953163662	148.061914372338	174
1	"Myo-Inositol"	"myoinositol"	"C6H12O6"	"[M+Na]+"	193	203.052608104	203.050577577919	203.054638630081	193
1	"3-Phosphoglyceric Acid"	"phosphoglyceric_3"	"C3H7O7P"	"[M+H]+"	267	187.000215194	186.998345191848	187.002085196152	
1	"Suberic Acid"	"suberic"	"C8H14O4"	"[M+Na]+"	37	197.078428928	197.076458143711	197.080399712289	
1	"Xanthine"	"xanthine"	"C5H4N4O2"	"[M+H]+"	140	153.040701368	153.039170960986	153.042231775014	140
2	"Ascorbic Acid"	"ascorbic"	"C6H8O6"	"[M+H]+"	128	177.039363976	177.03759358236	177.04113436964	127
2	"C4 Carnitine"	"carnitine_c4"	"C11H21NO4"	"[M+H]+"	37	232.154334152	232.152012608658	232.156655695341	35
2	"Fructose"	"fructose"	"C6H12O6"	"[M+Na]+"	150	203.052608104	203.050577577919	203.054638630081	150
2	"Glycine"	"glycine"	"C2H5NO2"	"[M+H]+"	172	76.0393044	76.038544006956	76.040064793044	172
