"","mix","name","abbreviation","HMDB.code","formula","POS","NEG","RT","data_set","sample","operator","version","quality_POS","quality_NEG","mzneut","mz_ion","rtmin","rtmax"
"Diethyl malonate",9,"Diethyl malonate","diethylmalonate","HMDB0029573","C7H12O4","[M+H]+",NA,29,"2020_01_matrix_effect","water","Mar Garcia-Aloy",2,"3_bad","3_bad",160.07355894,161.080835395,25,35
"Palmitoylcarnitine",3,"Palmitoylcarnitine","palmitoylcarnitine","HMDB0000222","C23H45NO4","[M+H]+","[M-H+HCOOH]-",34,"2020_01_matrix_effect","water","Mar Garcia-Aloy",2,"2_medium","3_bad",399.334859097,400.342135552,20,43
"Corticosterone",5,"Corticosterone","corticosterone","HMDB0001547","C21H30O4","[M+H]+","[M-H+HCOOH]-",35,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"0_perfect","3_bad",346.21440957,347.221686025,22,45
"Caffeine",7,"Caffeine","caffeine","HMDB0001847","C8H10N4O2","[M+H]+",NA,35,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","3_bad",194.080375618,195.087652073,30,40
"Indoleacetic acid",13,"Indoleacetic acid","indoleacetic","HMDB0000197","C10H9NO2","[M+H]+","[M-H]-",35,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","0_perfect",175.063328577,176.070605032,32,40
"Suberic Acid",1,"Suberic Acid","suberic","HMDB0000893","C8H14O4","[M+Na]+","[M-H]-",37,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","0_perfect",174.08920901,197.07842701,28,45
"Sphingosine",7,"Sphingosine","sphingosine","HMDB0000252","C18H37NO2","[M+H]+","[M-H+HCOOH]-",37,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","3_bad",299.282429557,300.289706012,25,40
"Threonic Acid",7,"Threonic Acid","threonic","HMDB0000943","C4H8O5","[M+Na]+","[M-H]-",130,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"2_medium","2_medium",136.03717343,159.02639143,100,140
"Inosine",8,"Inosine","inosine","HMDB0000195","C10H12N4O5","[M+Na]+","[M-H]-",146,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"0_perfect","0_perfect",268.080769578,291.069987578,130,155
"Phenylalanine",15,"Phenylalanine","phenylalanine","HMDB0000159","C9H11NO2","[M+H]+","[M-H]-",154,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",165.078978647,166.086255102,135,170
"3-Nitrotyrosine",2,"3-Nitrotyrosine","nitrotyrosine","HMDB0001904","C9H10N2O5","[M+H]+","[M-H]-",157,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",226.058971504,227.066247959,138,170
"Tyrosine",8,"Tyrosine","tyrosine","HMDB0000158","C9H11NO3","[M+H]+","[M-H]-",168,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",181.073893277,182.081169732,160,180
"Homocysteine",12,"Homocysteine","homocysteine","HMDB0000742","C4H9NO2S","[M+H]+","[M-H]-",168,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",135.035399277,136.042675732,160,180
"Alanine",3,"Alanine","alanine","HMDB0000161","C3H7NO2","[M+H]+","[M-H+HCOONa]-",170,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",89.047678507,90.054954962,160,180
"N-Acetylornithine",10,"N-Acetylornithine","acetylornithine","HMDB0003357","C7H14N2O3","[M+H]+","[M-H]-",170,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",174.100442384,175.107718839,170,210
"alpha-Aminoadipic acid",15,"alpha-Aminoadipic acid","aminoadipic","HMDB0000510","C6H11NO4","[M+H]+","[M-H]-",170,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",161.068807907,162.076084362,162,200
"Glycine",2,"Glycine","glycine","HMDB0000123","C2H5NO2","[M+H]+","[M-H]-",172,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","2_medium",75.032028437,76.039304892,165,185
"Taurine",7,"Taurine","taurine","HMDB0000251","C2H7NO3S","[M+H]+","[M-H]-",172,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"1_good","1_good",125.014663837,126.021940292,160,180
"Creatine",1,"Creatine","creatine","HMDB0000064","C4H9N3O2","[M+H]+","[M-H]-",173,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"2_medium","3_bad",131.069476581,132.076753036,158,185
"Putrescine",4,"Putrescine","putrescine","HMDB0001414","C4H12N2","[M+H-NH3]+",NA,173,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"2_medium","3_bad",88.100048424,72.080775774,150,173
"Threonine",5,"Threonine","threonine","HMDB0000167","C4H9NO3","[M+H]+","[M-H]-",173,"2020_01_matrix_effect","serum","Mar Garcia-Aloy",2,"0_perfect","0_perfect",119.058243207,120.065519662,165,190
